color,fuelTypeId,fuelType,id,km,make,makeId,model,modelId,price,province,provinceId,title,transmissionType,transmissionTypeId,year,seller_type,bodyType,cubicCapacity,doors,hp,url,publicationDate,fecha
RED,2,Gasolina,51127797,20021,AUDI,4,Q3 Sportback,1293,36900,Valencia,46,AUDI Q3 Sportback 35 TFSI 110kW 150CV S Line 5p,MANUAL,2,2020,profesional,4x4 SUV,1498,5,150,https://www.coches.net/audi-q3-sportback-35-tfsi-110kw-150cv-s-line-5p-gasolina-2020-en-valencia-51127797-covo.aspx,2023-04-08T194345+0200,2023-04-09T153334+0200
GRAY,1,Diésel,54819275,140000,AUDI,4,A1,966,14000,Barcelona,8,AUDI A1 1.4 TDI 90CV ultra Adrenalin 3p,MANUAL,2,2016,particular,Berlina,1422,3,90,https://www.coches.net/audi-a1-14-tdi-90cv-ultra-adrenalin-3p-diesel-2016-en-barcelona-54819275-covo.aspx,2023-04-08T193546+0200,2023-04-09T153346+0200
GRAY,2,Gasolina,54662066,76600,AUDI,4,Q2,1199,24000,Barcelona,8,AUDI Q2 design ed 1.4 TFSI 110kW 150CV CoD 5p,AUTOMATIC,1,2017,profesional,4x4 SUV,1395,5,150,https://www.coches.net/audi-q2-design-ed-14-tfsi-110kw-150cv-cod-gasolina-2017-en-barcelona-54662066-covo.aspx,2023-04-08T191745+0200,2023-04-09T153402+0200
BLACK,1,Diésel,51881963,153000,AUDI,4,A5,611,29900,Asturias,33,AUDI A5 2.0 TDI 140kW 190CV S tronic Sportback 5p,AUTOMATIC,1,2017,profesional,Berlina,1968,5,190,https://www.coches.net/audi-a5-advanced-20-tdi-140kw-190cv-sportback-5p-diesel-2017-en-asturias-51881963-covo.aspx,2023-04-08T190456+0200,2023-04-09T153415+0200
GRAY,1,Diésel,54819172,136000,AUDI,4,A3,345,17400,Sevilla,41,AUDI A3 design edition 1.6 TDI Sportback 5p,MANUAL,2,2017,particular,Berlina,1598,5,110,https://www.coches.net/audi-a3-design-edition-16-tdi-sportback-5p-diesel-2017-en-sevilla-54819172-covo.aspx,2023-04-08T190430+0200,2023-04-09T153428+0200
BLACK,2,Gasolina,53033118,33000,AUDI,4,A4,7,96900,Asturias,33,AUDI A4 RS4 Avant TFSI 331kW quattro tiptronic 5p,AUTOMATIC,1,2020,profesional,Familiar,2894,5,450,https://www.coches.net/audi-a4-rs4-avant-tfsi-331kw-quattro-tiptronic-gasolina-2020-en-asturias-53033118-covo.aspx,2023-04-08T190345+0200,2023-04-09T153437+0200
WHITE,1,Diésel,54805591,38395,AUDI,4,Q8,1255,82990,Madrid,28,AUDI Q8 50 TDI 210kW 286CV quattro tiptronic 5p,AUTOMATIC,1,2019,profesional,4x4 SUV,2967,5,286,https://www.coches.net/audi-q8-50-tdi-210kw-286cv-quattro-tiptronic-5p-diesel-2019-en-madrid-54805591-covo.aspx,2023-04-08T185846+0200,2023-04-09T153452+0200
GRAY,1,Diésel,54676113,106239,AUDI,4,Q2,1199,20490,Sevilla,41,AUDI Q2 Advanced 30 TDI 85kW 116CV 5p,MANUAL,2,2018,profesional,4x4 SUV,1598,5,116,https://www.coches.net/audi-q2-advanced-30-tdi-85kw-116cv-5p-diesel-2019-en-sevilla-54676113-covo.aspx,2023-04-08T185845+0200,2023-04-09T153500+0200
BLACK,1,Diésel,54566015,26163,AUDI,4,Q5,904,34450,Madrid,28,AUDI Q5 Advanced 2.0 TDI 110kW 150CV 5p,MANUAL,2,2018,profesional,4x4 SUV,1968,5,150,https://www.coches.net/audi-q5-advanced-20-tdi-110kw-150cv-5p-diesel-2018-en-madrid-54566015-covo.aspx,2023-04-08T185745+0200,2023-04-09T153510+0200
GRAY,2,Gasolina,54566130,49012,AUDI,4,A1,966,19900,Madrid,28,AUDI A1 Adrenalin 1.4 TFSI 92kW125CV Sportback 5p,MANUAL,2,2018,profesional,Berlina,1395,5,125,https://www.coches.net/audi-a1-adrenalin-14-tfsi-92kw125cv-sportback-5p-gasolina-2018-en-madrid-54566130-covo.aspx,2023-04-08T185745+0200,2023-04-09T153521+0200
WHITE,2,Gasolina,54781950,63783,AUDI,4,A1,966,18890,Madrid,28,AUDI A1 Adrenalin2 1.4 TFSI 92kW Sportback 5p,MANUAL,2,2018,profesional,Berlina,1395,5,125,https://www.coches.net/audi-a1-adrenalin2-14-tfsi-92kw-sportback-5p-gasolina-2018-en-madrid-54781950-covo.aspx,2023-04-08T185647+0200,2023-04-09T153529+0200
WHITE,4,Híbrido,54476168,43182,AUDI,4,A5,611,54350,Baleares,7,AUDI A5 35 TDI S tronic Cabrio 2p,AUTOMATIC,1,2020,profesional,Cabrio,1968,2,163,https://www.coches.net/audi-a5-35-tdi-s-tronic-cabrio-2p-electrico-hibrido-2020-en-baleares-54476168-covo.aspx,2023-04-09T090842+0200,2023-04-09T153543+0200
WHITE,1,Diésel,54565823,102102,AUDI,4,A1,966,16950,Madrid,28,AUDI A1 Adrenalin 1.6 TDI 85kW 116CV 3p,MANUAL,2,2018,profesional,Berlina,1598,3,116,https://www.coches.net/audi-a1-adrenalin-16-tdi-85kw-116cv-3p-diesel-2018-en-madrid-54565823-covo.aspx,2023-04-08T184953+0200,2023-04-09T153552+0200
WHITE,1,Diésel,53912082,77000,AUDI,4,Q3,999,31990,Cádiz,11,AUDI Q3 35 TDI 110kW 150CV S tronic 5p,AUTOMATIC,1,2019,profesional,4x4 SUV,1968,5,150,https://www.coches.net/audi-q3-35-tdi-110kw-150cv-s-tronic-diesel-2019-en-cadiz-53912082-covo.aspx,2023-04-09T120038+0200,2023-04-09T153602+0200
WHITE,2,Gasolina,54395345,28000,AUDI,4,A1,966,19950,Sta. C. Tenerife,38,AUDI A1 Sportback 25 TFSI 70kW 95CV,MANUAL,2,2020,profesional,Berlina,999,5,95,https://www.coches.net/audi-a1-sportback-25-tfsi-70kw-95cv-gasolina-2020-en-sta_c_tenerife-54395345-covo.aspx,2023-04-08T184952+0200,2023-04-09T153613+0200
BLUE,1,Diésel,54819119,178200,AUDI,4,Q3,999,14850,Ciudad Real,13,AUDI Q3 2.0 TDI 140cv quattro S tronic Ambiente 5p,AUTOMATIC,1,2014,particular,4x4 SUV,1968,5,140,https://www.coches.net/audi-q3-20-tdi-140cv-quattro-s-tronic-ambiente-5p-diesel-2014-en-ciudad_real-54819119-covo.aspx,2023-04-08T185125+0200,2023-04-09T153626+0200
GRAY,1,Diésel,54557732,108838,AUDI,4,A4,7,22900,Lugo,27,AUDI A4 Avant 2.0 TDI 110kW150CV design edit 5p,MANUAL,2,2018,profesional,Familiar,1968,5,150,https://www.coches.net/audi-a4-avant-20-tdi-110kw150cv-design-edit-5p-diesel-2017-en-lugo-54557732-covo.aspx,2023-04-08T184545+0200,2023-04-09T153636+0200
WHITE,1,Diésel,54805545,90512,AUDI,4,Q5,904,33990,Madrid,28,AUDI Q5 2.0 TDI 140kW 190CV quattro S tronic 5p,AUTOMATIC,1,2017,profesional,4x4 SUV,1968,5,190,https://www.coches.net/audi-q5-20-tdi-140kw-190cv-quattro-s-tronic-5p-diesel-2018-en-madrid-54805545-covo.aspx,2023-04-09T125239+0200,2023-04-09T153649+0200
BLUE,4,Híbrido,51202852,12900,AUDI,4,A6,27,63490,Asturias,33,AUDI A6 Avant Sport 40 TDI 150kW quatul S tron. 5p,AUTOMATIC,1,2021,profesional,Familiar,1968,5,204,https://www.coches.net/km-0/audi/a6/asturias/avant_sport_40_tdi_150kw_quatul_s_tron-electrico-hibrido-de-km0-51202852-kovn.aspx,2023-04-08T183645+0200,2023-04-09T153659+0200
WHITE,2,Gasolina,54413105,68139,AUDI,4,A3,345,24900,Madrid,28,AUDI A3 design edit 1.5 TFSI CoD EVO S tronic SB 5p,AUTOMATIC,1,2018,profesional,Berlina,1498,5,150,https://www.coches.net/audi-a3-design-edit-15-tfsi-cod-evo-s-tronic-sb-5p-gasolina-2018-en-madrid-54413105-covo.aspx,2023-04-08T183449+0200,2023-04-09T153708+0200
