color,fuelTypeId,fuelType,id,km,make,makeId,model,modelId,price,province,provinceId,title,transmissionType,transmissionTypeId,year,seller_type,bodyType,cubicCapacity,doors,hp,url,publicationDate,fecha
GRAY,4,Híbrido,54769703,17500,AUDI,4,A5,611,69500,Burgos,9,AUDI A5 S line 45 TFSI quattroultra Coupe 2p,AUTOMATIC,1,2022,profesional,Coupe,1984,2,265,https://www.coches.net/audi-a5-s-line-45-tfsi-quattroultra-coupe-2p-electrico-hibrido-2022-en-burgos-54769703-covo.aspx,2023-04-09T060213+0200,2023-04-09T161730+0200
BLUE,1,Diésel,54491393,60960,AUDI,4,Q7,571,60950,Madrid,28,AUDI Q7 Black line ed 3.0 TDI quattro tiptronic 5p,AUTOMATIC,1,2018,profesional,4x4 SUV,2967,5,272,https://www.coches.net/audi-q7-black-line-ed-30-tdi-quattro-tiptronic-5p-diesel-2017-en-madrid-54491393-covo.aspx,2023-04-08T113343+0200,2023-04-09T161743+0200
WHITE,2,Gasolina,54745260,23000,AUDI,4,Q2,1199,27999,Madrid,28,AUDI Q2 Advanced 1.4 TFSI 110kW 150CV CoD 5p,MANUAL,2,2018,profesional,4x4 SUV,1395,5,150,https://www.coches.net/audi-q2-advanced-14-tfsi-110kw-150cv-cod-5p-gasolina-2018-en-madrid-54745260-covo.aspx,2023-04-09T131538+0200,2023-04-09T161756+0200
WHITE,1,Diésel,54755280,138388,AUDI,4,A3,345,18490,Sevilla,41,AUDI A3 design edition 1.6 TDI 85kW Sportback 5p,MANUAL,2,2018,profesional,Berlina,1598,5,116,https://www.coches.net/audi-a3-design-edition-16-tdi-85kw-sportback-5p-diesel-2018-en-sevilla-54755280-covo.aspx,2023-04-08T113144+0200,2023-04-09T161811+0200
WHITE,1,Diésel,54205101,67804,AUDI,4,Q3,999,26100,Madrid,28,AUDI Q3 Black line ed 2.0 TDI 110kW quattro 5p,MANUAL,2,2017,profesional,4x4 SUV,1968,5,150,https://www.coches.net/audi-q3-black-line-ed-20-tdi-110kw-quattro-5p-diesel-2017-en-madrid-54205101-covo.aspx,2023-04-09T130838+0200,2023-04-09T161822+0200
GRAY,1,Diésel,54805563,59726,AUDI,4,A5,611,32990,Madrid,28,AUDI A5 3.0 TDI 160kW quattro S tronic Sportback 5p,AUTOMATIC,1,2018,profesional,Berlina,2967,5,218,https://www.coches.net/audi-a5-30-tdi-160kw-quattro-s-tronic-sportback-5p-diesel-2018-en-madrid-54805563-covo.aspx,2023-04-09T135540+0200,2023-04-09T161837+0200
BLACK,1,Diésel,54749331,125000,AUDI,4,A4,7,18000,Málaga,29,AUDI A4 Avant 3.0 TDI 245cv quattro S tronic 5p,AUTOMATIC,1,2013,particular,Familiar,2967,5,245,https://www.coches.net/audi-a4-avant-30-tdi-245cv-quattro-s-tronic-5p-diesel-2013-en-malaga-54749331-covo.aspx,2023-04-09T112744+0200,2023-04-09T161846+0200
WHITE,1,Diésel,54805512,101160,AUDI,4,A3,345,20490,Madrid,28,AUDI A3 design edition 2.0 TDI Sportback 5p,MANUAL,2,2017,profesional,Berlina,1968,5,150,https://www.coches.net/audi-a3-design-edition-20-tdi-sportback-5p-diesel-2017-en-madrid-54805512-covo.aspx,2023-04-08T112744+0200,2023-04-09T161903+0200
ORANGE,1,Diésel,54570375,57072,AUDI,4,Q2,1199,23500,Málaga,29,AUDI Q2 design edition 1.6 TDI 85kW 116CV 5p,MANUAL,2,2017,profesional,4x4 SUV,1598,5,116,https://www.coches.net/audi-q2-design-edition-16-tdi-85kw-116cv-diesel-2017-en-malaga-54570375-covo.aspx,2023-04-09T094242+0200,2023-04-09T161914+0200
BLACK,1,Diésel,54755385,82838,AUDI,4,Q7,571,52490,Sevilla,41,AUDI Q7 Black line 3.0 TDI 160kW ultra quat tipt 5p,AUTOMATIC,1,2018,profesional,4x4 SUV,2967,5,218,https://www.coches.net/audi-q7-black-line-30-tdi-160kw-ultra-quat-tipt-5p-diesel-2016-en-sevilla-54755385-covo.aspx,2023-04-08T112144+0200,2023-04-09T161928+0200
ORANGE,2,Gasolina,54330996,45000,AUDI,4,A3,345,23990,Málaga,29,AUDI A3 30 TFSI 85kW 116CV Sportback 5p,MANUAL,2,2019,profesional,Berlina,999,5,116,https://www.coches.net/audi-a3-30-tfsi-85kw-116cv-sportback-5p-gasolina-2019-en-malaga-54330996-covo.aspx,2023-04-08T111944+0200,2023-04-09T161942+0200
GREEN,1,Diésel,52576708,75600,AUDI,4,A4,7,29000,Pontevedra,36,AUDI A4 S line ed 2.0 TDI 140kW S tronic Avant,AUTOMATIC,1,2018,profesional,Familiar,1968,5,190,https://www.coches.net/audi-a4-s-line-ed-20-tdi-140kw-s-tronic-avant-diesel-2018-en-pontevedra-52576708-covo.aspx,2023-04-09T144739+0200,2023-04-09T161958+0200
GRAY,1,Diésel,54325210,38677,AUDI,4,A1,966,18900,Madrid,28,AUDI A1 Adrenalin 1.4 TDI 66kW 90CV Sportback 5p,MANUAL,2,2018,profesional,Berlina,1422,5,90,https://www.coches.net/audi-a1-adrenalin-14-tdi-66kw-90cv-sportback-5p-diesel-2018-en-madrid-54325210-covo.aspx,2023-04-08T111743+0200,2023-04-09T162012+0200
BLACK,1,Diésel,54769064,173500,AUDI,4,A8,105,35700,Girona,17,AUDI A8 3.0 TDI quattro tiptronic 4p,AUTOMATIC,1,2016,particular,Berlina,2967,4,262,https://www.coches.net/audi-a8-30-tdi-quattro-tiptronic-4p-diesel-2016-en-girona-54769064-covo.aspx,2023-04-09T111648+0200,2023-04-09T162021+0200
BLACK,1,Diésel,54573477,47151,AUDI,4,Q8,1255,104990,Cádiz,11,AUDI Q8 SQ8 TDI 320kW 435CV quattro tiptronic,AUTOMATIC,1,2020,profesional,4x4 SUV,3956,5,435,https://www.coches.net/audi-q8-sq8-tdi-320kw-435cv-quattro-tiptronic-diesel-2020-en-cadiz-54573477-covo.aspx,2023-04-09T110544+0200,2023-04-09T162032+0200
WHITE,2,Gasolina,2 centros en Alcorcón,20104,AUDI,4,A3,345,21890,Baleares,7,AUDI A3 1.5 TFSI 110kW 150CV CoD EVO Sportback 5p,MANUAL,2,2017,profesional,Berlina,1498,5,150,https://www.coches.net/audi-a3-15-tfsi-110kw-150cv-cod-evo-sportback-5p-gasolina-2017-en-baleares-54817133-covo.aspx,2023-04-09T000000+0200,2023-04-09T162049+0200
GRAY,1,Diésel,54532994,13560,AUDI,4,Q3 Sportback,1293,40900,Lleida,25,AUDI Q3 Sportback Advanced 35 TDI 110kW 150CV S tronic 5p,AUTOMATIC,1,2022,profesional,4x4 SUV,1968,5,150,https://www.coches.net/audi-q3-sportback-advanced-35-tdi-110kw-150cv-s-tronic-5p-diesel-2022-en-lleida-54532994-covo.aspx,2023-04-08T111343+0200,2023-04-09T162059+0200
WHITE,2,Gasolina,54201770,26900,AUDI,4,A3,345,27900,Cádiz,11,AUDI A3 Sportback Advanced 30 TFSI 81kW 110CV 5p,MANUAL,2,2021,profesional,Berlina,999,5,110,https://www.coches.net/audi-a3-sportback-advanced-30-tfsi-81kw-110cv-5p-gasolina-2021-en-cadiz-54201770-covo.aspx,2023-04-08T111043+0200,2023-04-09T162111+0200
GRAY,1,Diésel,54199634,47195,AUDI,4,Q8,1255,69900,Madrid,28,AUDI Q8 50 TDI 210kW 286CV quattro tiptronic 5p,AUTOMATIC,1,2019,profesional,4x4 SUV,2967,5,286,https://www.coches.net/audi-q8-50-tdi-210kw-286cv-quattro-tiptronic-5p-diesel-2019-en-madrid-54199634-covo.aspx,2023-04-08T110843+0200,2023-04-09T162127+0200
BLUE,1,Diésel,54561984,112800,AUDI,4,A5,611,28900,A Coruña,15,AUDI A5 Advanced 2.0 TDI 110kW S tronic Coupe 2p,AUTOMATIC,1,2018,profesional,Coupe,1968,2,150,https://www.coches.net/audi-a5-advanced-20-tdi-110kw-s-tronic-coupe-2p-diesel-2017-en-a_coruna-54561984-covo.aspx,2023-04-08T110543+0200,2023-04-09T162139+0200
BLACK,5,Híbrido enchufable,54541307,33851,AUDI,4,A7,974,69990,Cádiz,11,AUDI A7 Sportback 50 TFSIe 220KW quattro S tron,AUTOMATIC,1,2020,profesional,Berlina,1984,5,299,https://www.coches.net/audi-a7-sportback-50-tfsie-220kw-quattro-s-tron--2020-en-cadiz-54541307-covo.aspx,2023-04-08T110344+0200,2023-04-09T162148+0200
BLUE,1,Diésel,54805479,73884,AUDI,4,A4,7,37990,Madrid,28,AUDI A4 S4 Avant TDI 255kW 347CV quattro tipt 5p,AUTOMATIC,1,2019,profesional,Familiar,2967,5,347,https://www.coches.net/audi-a4-s4-avant-tdi-255kw-347cv-quattro-tipt-5p-diesel-2019-en-madrid-54805479-covo.aspx,2023-04-09T113045+0200,2023-04-09T162204+0200
BLACK,2,Gasolina,51850944,160000,AUDI,4,A5,611,35500,Madrid,28,AUDI A5 S5 3.0 TFSI quattro tiptronic Sportback 5p,AUTOMATIC,1,2018,profesional,Berlina,2995,5,354,https://www.coches.net/audi-a5-s5-30-tfsi-quattro-tiptronic-sportback-5p-gasolina-2018-en-madrid-51850944-covo.aspx,2023-04-08T105842+0200,2023-04-09T162217+0200
RED,2,Gasolina,53495814,24999,AUDI,4,A3,345,24790,Cádiz,11,AUDI A3 Sportback 35 TFSI 110kW 150CV,MANUAL,2,2019,profesional,Berlina,1498,5,150,https://www.coches.net/audi-a3-sportback-35-tfsi-110kw-150cv-gasolina-2019-en-sevilla-53495814-covo.aspx,2023-04-08T105647+0200,2023-04-09T162233+0200
RED,2,Gasolina,52440416,129300,AUDI,4,S1,1117,20999,Alicante,3,AUDI S1 2.0 TFSI 231CV quattro 3p,MANUAL,2,2016,profesional,Berlina,1984,3,231,https://www.coches.net/audi-s1-20-tfsi-231cv-quattro-3p-gasolina-2015-en-alicante-52440416-covo.aspx,2023-04-08T105342+0200,2023-04-09T162248+0200
GREEN,2,Gasolina,54805546,77265,AUDI,4,A5,611,39490,Madrid,28,AUDI A5 S line 2.0 TFSI 140kW MHEV S tron Cabrio 2p,AUTOMATIC,1,2018,profesional,Cabrio,1984,2,190,https://www.coches.net/audi-a5-s-line-20-tfsi-140kw-mhev-s-tron-cabrio-2p-gasolina-2018-en-madrid-54805546-covo.aspx,2023-04-09T125239+0200,2023-04-09T162300+0200
WHITE,2,Gasolina,54030157,46800,AUDI,4,Q3,999,30990,Málaga,29,AUDI Q3 35 TFSI 110kW 150CV 5p,MANUAL,2,2019,profesional,4x4 SUV,1498,5,150,https://www.coches.net/audi-q3-35-tfsi-110kw-150cv-5p-gasolina-2019-en-malaga-54030157-covo.aspx,2023-04-08T105143+0200,2023-04-09T162312+0200
GRAY,1,Diésel,54274749,16283,AUDI,4,A3,345,34800,Alicante,3,AUDI A3 Sportback S line 35 TDI 110kW S tronic 5p,AUTOMATIC,1,2022,profesional,Berlina,1968,5,150,https://www.coches.net/audi-a3-sportback-s-line-35-tdi-110kw-s-tronic-5p-diesel-2022-en-alicante-54274749-covo.aspx,2023-04-09T142140+0200,2023-04-09T162325+0200
GRAY,2,Gasolina,54668347,108492,AUDI,4,A4,7,21590,Barcelona,8,AUDI A4 1.4 TFSI 110kW 150CV Avant 5p,MANUAL,2,2018,profesional,Familiar,1395,5,150,https://www.coches.net/audi-a4-14-tfsi-110kw-150cv-avant-5p-gasolina-2018-en-barcelona-54668347-covo.aspx,2023-04-08T105043+0200,2023-04-09T162334+0200
WHITE,4,Híbrido,54421332,16896,AUDI,4,Q5 SPORTBACK,1342,48399,Madrid,28,AUDI Q5 SPORTBACK Advanced 35 TDI 120kW S tronic 5p,AUTOMATIC,1,2021,profesional,4x4 SUV,1968,5,163,https://www.coches.net/audi-q5-sportback-advanced-35-tdi-120kw-s-tronic-5p-electrico-hibrido-2021-en-madrid-54421332-covo.aspx,2023-04-09T094442+0200,2023-04-09T162349+0200
BLUE,2,Gasolina,54803768,140000,AUDI,4,A1,966,18900,Alicante,3,AUDI A1 Sportback S line 30 TFSI 85kW 116CV,MANUAL,2,2019,profesional,Berlina,999,5,116,https://www.coches.net/audi-a1-sportback-s-line-30-tfsi-85kw-116cv-gasolina-2019-en-alicante-54803768-covo.aspx,2023-04-08T104744+0200,2023-04-09T162400+0200
BLACK,2,Gasolina,54205104,20854,AUDI,4,Q2,1199,31499,Madrid,28,AUDI Q2 35 TFSI 110kW 150CV S tronic 5p,AUTOMATIC,1,2021,profesional,4x4 SUV,1498,5,150,https://www.coches.net/audi-q2-35-tfsi-110kw-150cv-s-tronic-5p-gasolina-2020-en-madrid-54205104-covo.aspx,2023-04-08T104743+0200,2023-04-09T162417+0200
WHITE,2,Gasolina,54523438,15500,AUDI,4,A6,27,145900,Alicante,3,AUDI A6 RS 6 Avant TFSI quattro 5p,AUTOMATIC,1,2022,profesional,Familiar,3996,5,600,https://www.coches.net/audi-a6-rs-6-avant-tfsi-quattro-gasolina-2022-en-alicante-54523438-covo.aspx,2023-04-08T104743+0200,2023-04-09T162426+0200
GRAY,1,Diésel,54805594,141922,AUDI,4,A4,7,35990,Madrid,28,AUDI A4 Avant S line 50 TDI 210kW quattro tiptro 5p,AUTOMATIC,1,2019,profesional,Familiar,2967,5,286,https://www.coches.net/audi-a4-avant-s-line-50-tdi-210kw-quattro-tiptro-5p-diesel-2019-en-madrid-54805594-covo.aspx,2023-04-09T151740+0200,2023-04-09T162438+0200
BLUE,5,Híbrido enchufable,53784451,39000,AUDI,4,A3,345,28900,Las Palmas,35,AUDI A3 Sportback Advanced 40 TFSI e 150kW S tro 5p,AUTOMATIC,1,2021,profesional,Berlina,1395,5,204,https://www.coches.net/audi-a3-sportback-advanced-40-tfsi-e-150kw-s-tro--2021-en-las_palmas-53784451-covo.aspx,2023-04-08T104443+0200,2023-04-09T162454+0200
BLUE,1,Diésel,54695368,32004,AUDI,4,A3,345,29200,Barcelona,8,AUDI A3 Sportback S line 35 TDI 110kW S tronic 5p,AUTOMATIC,1,2019,profesional,Berlina,1968,5,150,https://www.coches.net/audi-a3-sportback-s-line-35-tdi-110kw-s-tronic-5p-diesel-2019-en-barcelona-54695368-covo.aspx,2023-04-09T115044+0200,2023-04-09T162506+0200
WHITE,1,Diésel,54673289,26900,AUDI,4,Q3,999,40900,Alicante,3,AUDI Q3 Advanced 35 TDI 110kW 150CV S tronic 5p,AUTOMATIC,1,2022,profesional,4x4 SUV,1968,5,150,https://www.coches.net/audi-q3-advanced-35-tdi-110kw-150cv-s-tronic-5p-diesel-2022-en-alicante-54673289-covo.aspx,2023-04-08T104148+0200,2023-04-09T162519+0200
WHITE,1,Diésel,54739641,80565,AUDI,4,Q2,1199,26400,Barcelona,8,AUDI Q2 Design 30 TDI 85kW 116CV S tronic 5p,AUTOMATIC,1,2019,profesional,4x4 SUV,1598,5,116,https://www.coches.net/audi-q2-design-30-tdi-85kw-116cv-s-tronic-5p-diesel-2019-en-barcelona-54739641-covo.aspx,2023-04-09T095342+0200,2023-04-09T162529+0200
BLUE,2,Gasolina,54774548,31000,AUDI,4,A3,345,58450,Madrid,28,AUDI A3 RS 3 2.5 TFSI quattro S tronic Sportback 5p,AUTOMATIC,1,2018,profesional,Berlina,2480,5,400,https://www.coches.net/audi-a3-rs-3-25-tfsi-quattro-s-tronic-sportback-5p-gasolina-2018-en-madrid-54774548-covo.aspx,2023-04-08T103944+0200,2023-04-09T162538+0200
BLUE,1,Diésel,54668243,78524,AUDI,4,Q5,904,29950,Barcelona,8,AUDI Q5 S line 2.0 TDI 110kW 150CV 5p,MANUAL,2,2017,profesional,4x4 SUV,1968,5,150,https://www.coches.net/audi-q5-s-line-20-tdi-110kw-150cv-5p-diesel-2017-en-barcelona-54668243-covo.aspx,2023-04-08T103943+0200,2023-04-09T162551+0200
BROWN,1,Diésel,54406602,129371,AUDI,4,A3,345,19990,Cádiz,11,AUDI A3 1.6 TDI 85kW 116CV Sportback,MANUAL,2,2017,profesional,Berlina,1598,5,116,https://www.coches.net/audi-a3-16-tdi-85kw-116cv-sportback-diesel-2017-en-cadiz-54406602-covo.aspx,2023-04-08T103743+0200,2023-04-09T162605+0200
WHITE,1,Diésel,53550359,78000,AUDI,4,A3,345,23950,Sta. C. Tenerife,38,AUDI A3 Sedan S line 30 TDI 85kW 116CV,MANUAL,2,2020,profesional,Berlina,1598,4,116,https://www.coches.net/audi-a3-sedan-s-line-30-tdi-85kw-116cv-diesel-2020-en-sta_c_tenerife-53550359-covo.aspx,2023-04-09T114843+0200,2023-04-09T162620+0200
GRAY,1,Diésel,54090763,135000,AUDI,4,A5,611,27500,Madrid,28,AUDI A5 40 TDI 140kW 190CV S tronic Sportback 5p,AUTOMATIC,1,2019,profesional,Berlina,1968,5,190,https://www.coches.net/audi-a5-40-tdi-140kw-190cv-s-tronic-sportback-diesel-2019-en-sevilla-54090763-covo.aspx,2023-04-08T103643+0200,2023-04-09T162635+0200
GRAY,1,Diésel,54804162,57884,AUDI,4,A5,611,34400,Barcelona,8,AUDI A5 Advanced 2.0 TDI quattro S tro Sportback 5p,AUTOMATIC,1,2019,profesional,Berlina,1968,5,190,https://www.coches.net/audi-a5-advanced-20-tdi-quattro-s-tro-sportback-5p-diesel-2018-en-barcelona-54804162-covo.aspx,2023-04-09T101244+0200,2023-04-09T162651+0200
BLUE,1,Diésel,53960277,125141,AUDI,4,A3,345,16990,Madrid,28,AUDI A3 1.6 TDI 85kW 116CV S tronic Sedan 4p,AUTOMATIC,1,2018,profesional,Berlina,1598,4,116,https://www.coches.net/audi-a3-16-tdi-85kw-116cv-s-tronic-sedan-4p-diesel-2018-en-madrid-53960277-covo.aspx,2023-04-09T112143+0200,2023-04-09T162700+0200
GRAY,4,Híbrido,54325153,23642,AUDI,4,Q3 Sportback,1293,46200,Madrid,28,AUDI Q3 Sportback 35 TFSI 110kW150CV S tronic Black Line 5p,AUTOMATIC,1,2022,profesional,4x4 SUV,1498,5,150,https://www.coches.net/audi-q3-sportback-35-tfsi-110kw150cv-s-tronic-black-line-5p-electrico-hibrido-2022-en-madrid-54325153-covo.aspx,2023-04-08T103343+0200,2023-04-09T162715+0200
WHITE,2,Gasolina,53625378,12612,AUDI,4,Q3 Sportback,1293,40790,Málaga,29,AUDI Q3 Sportback 35 TFSI 110kW 150CV S Line 5p,MANUAL,2,2021,profesional,4x4 SUV,1498,5,150,https://www.coches.net/audi-q3-sportback-35-tfsi-110kw-150cv-s-line-5p-gasolina-2021-en-malaga-53625378-covo.aspx,2023-04-09T120538+0200,2023-04-09T162728+0200
GRAY,1,Diésel,52887917,167300,AUDI,4,A6,27,21900,Málaga,29,AUDI A6 Avant 2.0 TDI 190cv ultra S tronic 5p,AUTOMATIC,1,2016,profesional,Familiar,1968,5,190,https://www.coches.net/audi-a6-avant-20-tdi-190cv-ultra-advanced-edit-5p-diesel-2016-en-malaga-52887917-covo.aspx,2023-04-08T103042+0200,2023-04-09T162741+0200
RED,1,Diésel,53247932,160107,AUDI,4,A4 Allroad Quattro,925,28499,Badajoz,6,AUDI A4 Allroad Quattro 3.0 TDI 160kW 218CV quattro S tronic 5p,AUTOMATIC,1,2017,profesional,Familiar,2967,5,218,https://www.coches.net/audi-a4-allroad-quattro-30-tdi-160kw-218cv-quattro-s-tronic-diesel-2017-en-badajoz-53247932-covo.aspx,2023-04-08T103042+0200,2023-04-09T162756+0200
RED,1,Diésel,54387147,74114,AUDI,4,A3,345,19900,Madrid,28,AUDI A3 1.6 TDI 85kW 116CV S tronic Sportback 5p,AUTOMATIC,1,2018,profesional,Berlina,1598,5,116,https://www.coches.net/audi-a3-16-tdi-85kw-116cv-s-tronic-sportback-5p-diesel-2018-en-madrid-54387147-covo.aspx,2023-04-09T000000+0200,2023-04-09T162806+0200
WHITE,1,Diésel,54477022,112961,AUDI,4,Q3,999,31999,Sevilla,41,AUDI Q3 Advanced 35 TDI 110kW 150CV S tronic 5p,AUTOMATIC,1,2019,profesional,4x4 SUV,1968,5,150,https://www.coches.net/audi-q3-advanced-35-tdi-110kw-150cv-s-tronic-5p-diesel-2019-en-sevilla-54477022-covo.aspx,2023-04-09T135539+0200,2023-04-09T162816+0200
BLUE,1,Diésel,54205064,27056,AUDI,4,A3,345,28699,Madrid,28,AUDI A3 Sportback Advanced 30 TDI 85kW 116CV 5p,MANUAL,2,2021,profesional,Berlina,1968,5,116,https://www.coches.net/audi-a3-sportback-advanced-30-tdi-85kw-116cv-5p-diesel-2021-en-madrid-54205064-covo.aspx,2023-04-09T120339+0200,2023-04-09T162829+0200
ORANGE,4,Híbrido,54670107,60400,AUDI,4,Q8,1255,81987,Madrid,28,AUDI Q8 50 TDI 210kW Black L quattro tiptronic 5p,AUTOMATIC,1,2021,profesional,4x4 SUV,2967,5,286,https://www.coches.net/audi-q8-50-tdi-210kw-black-l-quattro-tiptronic-5p-electrico-hibrido-2021-en-madrid-54670107-covo.aspx,2023-04-08T102743+0200,2023-04-09T162842+0200
GRAY,1,Diésel,54674068,20753,AUDI,4,Q3,999,38900,Madrid,28,AUDI Q3 Advanced 35 TDI 110kW 150CV S tronic 5p,AUTOMATIC,1,2022,profesional,4x4 SUV,1968,5,150,https://www.coches.net/audi-q3-advanced-35-tdi-110kw-150cv-s-tronic-5p-diesel-2022-en-madrid-54674068-covo.aspx,2023-04-08T102647+0200,2023-04-09T162855+0200
GRAY,1,Diésel,53547094,21000,AUDI,4,A3,345,24950,Sta. C. Tenerife,38,AUDI A3 Sportback S line 30 TDI 85kW 116CV,MANUAL,2,2020,profesional,Berlina,1598,5,116,https://www.coches.net/audi-a3-sportback-s-line-30-tdi-85kw-116cv-diesel-2020-en-sta_c_tenerife-53547094-covo.aspx,2023-04-09T101042+0200,2023-04-09T162907+0200
RED,2,Gasolina,54461067,53351,AUDI,4,A1,966,22700,Barcelona,8,AUDI A1 Sportback S line 30 TFSI 85kW S tronic 5p,MANUAL,2,2020,profesional,Berlina,999,5,116,https://www.coches.net/audi-a1-sportback-s-line-30-tfsi-85kw-s-tronic-5p-gasolina-2020-en-barcelona-54461067-covo.aspx,2023-04-08T102443+0200,2023-04-09T162924+0200
BLACK,1,Diésel,54447131,66000,AUDI,4,A6,27,24990,Sta. C. Tenerife,38,AUDI A6 3.0 TDI 160kW218CV quattro S tronic 4p,AUTOMATIC,1,2017,profesional,Berlina,2967,4,218,https://www.coches.net/audi-a6-30-tdi-160kw218cv-quattro-s-tronic-4p-diesel-2017-en-sta_c_tenerife-54447131-covo.aspx,2023-04-09T102243+0200,2023-04-09T162932+0200
GRAY,2,Gasolina,54779022,58426,AUDI,4,A4,7,39900,Tarragona,43,AUDI A4 Avant S line 45 TFSI 180kW quatt S tron 5p,AUTOMATIC,1,2019,profesional,Familiar,1984,5,245,https://www.coches.net/audi-a4-avant-s-line-45-tfsi-180kw-quatt-s-tron-5p-gasolina-2020-en-tarragona-54779022-covo.aspx,2023-04-08T101943+0200,2023-04-09T162949+0200
WHITE,2,Gasolina,52825228,29250,AUDI,4,A1,966,18990,Zaragoza,50,AUDI A1 Sportback Advanced 30 TFSI 81kW 110CV 5p,MANUAL,2,2019,profesional,Berlina,999,5,110,https://www.coches.net/audi-a1-advanced-30-tfsi-85kw-116cv-sportback-5p-gasolina-2019-en-zaragoza-52825228-covo.aspx,2023-04-08T101942+0200,2023-04-09T163006+0200
RED,1,Diésel,54496684,30009,AUDI,4,Q8,1255,82000,Granada,18,AUDI Q8 50 TDI 210kW 286CV quattro tiptronic 5p,AUTOMATIC,1,2020,profesional,4x4 SUV,2967,5,286,https://www.coches.net/audi-q8-50-tdi-210kw-286cv-quattro-tiptronic-5p-diesel-2019-en-granada-54496684-covo.aspx,2023-04-08T101843+0200,2023-04-09T163015+0200
RED,2,Gasolina,54328658,54100,AUDI,4,R8,608,134990,Cádiz,11,AUDI R8 5.2 FSI V10 plus 610CV quattro S tronic,AUTOMATIC,1,2016,profesional,Coupe,5204,2,610,https://www.coches.net/audi-r8-52-fsi-v10-plus-610cv-quattro-s-tronic-gasolina-2016-en-cadiz-54328658-covo.aspx,2023-04-08T101842+0200,2023-04-09T163023+0200
BLUE,1,Diésel,54805567,113394,AUDI,4,Q5,904,33990,Madrid,28,AUDI Q5 2.0 TDI 140kW 190CV quattro S tronic 5p,AUTOMATIC,1,2018,profesional,4x4 SUV,1968,5,190,https://www.coches.net/audi-q5-20-tdi-140kw-190cv-quattro-s-tronic-5p-diesel-2018-en-madrid-54805567-covo.aspx,2023-04-09T121739+0200,2023-04-09T163038+0200
WHITE,2,Gasolina,54185667,56042,AUDI,4,A1,966,15990,Valladolid,47,AUDI A1 Adrenalin 1.0 TFSI 70kW 95CV Sportback,MANUAL,2,2018,profesional,Berlina,999,5,95,https://www.coches.net/audi-a1-adrenalin-10-tfsi-70kw-95cv-sportback-gasolina-2018-en-valladolid-54185667-covo.aspx,2023-04-09T102843+0200,2023-04-09T163051+0200
GRAY,1,Diésel,54149303,86833,AUDI,4,Q5,904,34900,Granada,18,AUDI Q5 Design 2.0 TDI 120kW quattro S tronic 5p,AUTOMATIC,1,2018,profesional,4x4 SUV,1968,5,163,https://www.coches.net/audi-q5-design-20-tdi-120kw-quattro-s-tronic-5p-diesel-2017-en-granada-54149303-covo.aspx,2023-04-08T101042+0200,2023-04-09T163107+0200
RED,1,Diésel,53901973,19500,AUDI,4,Q2,1199,24900,Madrid,28,AUDI Q2 Advanced 30 TDI 85kW 116CV 5p,MANUAL,2,2019,profesional,4x4 SUV,1598,5,116,https://www.coches.net/audi-q2-advanced-30-tdi-85kw-116cv-5p-diesel-2019-en-madrid-53901973-covo.aspx,2023-04-08T100942+0200,2023-04-09T163115+0200
ORANGE,1,Diésel,54393034,60825,AUDI,4,A4,7,22490,Málaga,29,AUDI A4 Avant 2.0 TDI 150CV Advanced edition 5p,MANUAL,2,2016,profesional,Familiar,1968,5,150,https://www.coches.net/audi-a4-avant-20-tdi-150cv-advanced-edition-5p-diesel-2016-en-malaga-54393034-covo.aspx,2023-04-09T114143+0200,2023-04-09T163129+0200
GRAY,1,Diésel,54665879,74321,AUDI,4,Q5,904,38700,Castellón,12,AUDI Q5 2.0 TDI 140kW 190CV quattro S tronic 5p,AUTOMATIC,1,2018,profesional,4x4 SUV,1968,5,190,https://www.coches.net/audi-q5-20-tdi-140kw-190cv-quattro-s-tronic-diesel-2018-en-castellon-54665879-covo.aspx,2023-04-08T100743+0200,2023-04-09T163142+0200
BLACK,2,Gasolina,54533274,36208,AUDI,4,A1,966,20700,Madrid,28,AUDI A1 Sportback Advanced 25 TFSI 70kW 95CV 5p,MANUAL,2,2019,profesional,Berlina,999,5,95,https://www.coches.net/audi-a1-sportback-advanced-25-tfsi-70kw-95cv-5p-gasolina-2019-en-madrid-54533274-covo.aspx,2023-04-08T100443+0200,2023-04-09T163151+0200
GRAY,2,Gasolina,54281778,19148,AUDI,4,A1,966,28700,Alicante,3,AUDI A1 Sportback Advanced 30 TFSI 81kW S tronic 5p,AUTOMATIC,1,2022,profesional,Berlina,999,5,110,https://www.coches.net/audi-a1-sportback-advanced-30-tfsi-81kw-s-tronic-5p-gasolina-2022-en-alicante-54281778-covo.aspx,2023-04-09T144440+0200,2023-04-09T163200+0200
RED,1,Diésel,54709960,96817,AUDI,4,A4,7,35890,Madrid,28,AUDI A4 Avant 3.0 TDI quattro tiptronic sport ed 5p,AUTOMATIC,1,2016,profesional,Familiar,2967,5,272,https://www.coches.net/audi-a4-avant-30-tdi-quattro-tiptronic-sport-ed-5p-diesel-2017-en-madrid-54709960-covo.aspx,2023-04-08T100343+0200,2023-04-09T163215+0200
