,fuelType,fuelTypeId,color,id,km,make,makeId,model,modelId,province,provinceId,price,title,transmissionType,transmissionTypeId,year,seller_type,seller_type_id,body_types,body_types_id,cubicCapacity,doors,hp,url,date
1872,Diésel,1.0,COMMON.COLOR_WHITE,54763829.0,118730.0,MAZDA,27.0,Mazda6,453.0,A Coruña,15.0,15450.0,MAZDA Mazda6 2.2 DE 150cv Style  Pack Comfort 4p.,COMMON.TRANSMISSION_MANUAL,2.0,2014.0,profesional,1.0,berlina,1.0,2191.0,4.0,150.0,https://www.coches.net/mazda-mazda6-22-de-150cv-style--pack-comfort-4p-diesel-2014-en-a_coruna-54763829-covo.aspx,2023-04-12 20:16:32
1873,Diésel,1.0,COMMON.COLOR_GRAY,54763724.0,177958.0,MAZDA,27.0,Mazda6,453.0,Badajoz,6.0,16300.0,MAZDA Mazda6 2.2 DE 175cv AT Luxury  Pack Travel 4p.,COMMON.TRANSMISSION_AUTOMATIC,1.0,2015.0,profesional,1.0,berlina,1.0,2191.0,4.0,175.0,https://www.coches.net/mazda-mazda6-22-de-175cv-at-luxury--pack-travel-4p-diesel-2015-en-badajoz-54763724-covo.aspx,2023-04-12 20:16:34
1874,Diésel,1.0,COMMON.COLOR_WHITE,54763699.0,87128.0,MAZDA,27.0,CX3,1140.0,Barcelona,8.0,18590.0,MAZDA CX3 1.8 D 85kW 115CV 2WD Evolution 5p.,COMMON.TRANSMISSION_MANUAL,2.0,2019.0,profesional,1.0,4x4 suv,6.0,1759.0,5.0,115.0,https://www.coches.net/mazda-cx3-18-d-85kw-115cv-2wd-evolution-5p-diesel-2019-en-barcelona-54763699-covo.aspx,2023-04-12 20:16:36
1875,Diésel,1.0,COMMON.COLOR_RED,54763644.0,43416.0,MAZDA,27.0,Mazda3,287.0,Alicante,3.0,20990.0,MAZDA Mazda3 1.5 DE 77KW MT Black Tech Edition 5p.,COMMON.TRANSMISSION_MANUAL,2.0,2018.0,profesional,1.0,berlina,1.0,1499.0,5.0,105.0,https://www.coches.net/mazda-mazda3-15-de-77kw-mt-black-tech-edition-5p-diesel-2018-en-alicante-54763644-covo.aspx,2023-04-12 20:16:38
1876,Diésel,1.0,COMMON.COLOR_BLUE,54763583.0,114944.0,MAZDA,27.0,CX5,1016.0,Barcelona,8.0,18890.0,MAZDA CX5 2.2 110kW 150CV DE 4WD Style 5p.,COMMON.TRANSMISSION_MANUAL,2.0,2016.0,profesional,1.0,4x4 suv,6.0,2191.0,5.0,150.0,https://www.coches.net/mazda-cx5-22-110kw-150cv-de-4wd-style-5p-diesel-2017-en-barcelona-54763583-covo.aspx,2023-04-12 20:16:40
1877,Híbrido,4.0,COMMON.COLOR_GARNET,54763542.0,56431.0,MAZDA,27.0,CX30,1285.0,Alicante,3.0,25490.0,MAZDA CX30 SKYACTIVX 2.0 132 kW Evolution 5p.,COMMON.TRANSMISSION_MANUAL,2.0,2020.0,profesional,1.0,4x4 suv,6.0,1998.0,5.0,180.0,https://www.coches.net/mazda-cx30-skyactivx-20-132-kw-evolution-5p-electrico-hibrido-2021-en-alicante-54763542-covo.aspx,2023-04-12 20:16:42
1878,Diésel,1.0,COMMON.COLOR_WHITE,54763539.0,95541.0,MAZDA,27.0,CX5,1016.0,Barcelona,8.0,21890.0,MAZDA CX5 2.2 D 110kW 150CV 2WD Evolution 5p.,COMMON.TRANSMISSION_MANUAL,2.0,2018.0,profesional,1.0,4x4 suv,6.0,2191.0,5.0,150.0,https://www.coches.net/mazda-cx5-22-d-110kw-150cv-2wd-evolution-5p-diesel-2018-en-barcelona-54763539-covo.aspx,2023-04-12 20:16:44
1879,Gasolina,2.0,COMMON.COLOR_WHITE,54763486.0,61342.0,MAZDA,27.0,Mazda2,505.0,Barcelona,8.0,13890.0,MAZDA Mazda2 1.5 GE 66kW 90CV Style 5p.,COMMON.TRANSMISSION_MANUAL,2.0,2018.0,profesional,1.0,berlina,1.0,1496.0,5.0,90.0,https://www.coches.net/mazda-mazda2-15-ge-66kw-90cv-style-5p-gasolina-2018-en-barcelona-54763486-covo.aspx,2023-04-12 20:16:46
1880,Diésel,1.0,COMMON.COLOR_WHITE,54763466.0,123607.0,MAZDA,27.0,CX5,1016.0,Barcelona,8.0,13290.0,MAZDA CX5 2.2 150cv DE 2WD Style 5p.,COMMON.TRANSMISSION_MANUAL,2.0,2012.0,profesional,1.0,4x4 suv,6.0,2184.0,5.0,150.0,https://www.coches.net/mazda-cx5-22-150cv-de-2wd-style-5p-diesel-2012-en-barcelona-54763466-covo.aspx,2023-04-12 20:16:48
1881,Diésel,1.0,COMMON.COLOR_WHITE,54763349.0,94239.0,MAZDA,27.0,CX5,1016.0,Barcelona,8.0,21950.0,MAZDA CX5 2.2 110kW 150CV DE 2WD Style 5p.,COMMON.TRANSMISSION_MANUAL,2.0,2017.0,profesional,1.0,4x4 suv,6.0,2191.0,5.0,150.0,https://www.coches.net/mazda-cx5-22-110kw-150cv-de-2wd-style-5p-diesel-2017-en-barcelona-54763349-covo.aspx,2023-04-12 20:16:49
1882,Gasolina,2.0,COMMON.COLOR_BLUE,54763339.0,53873.0,MAZDA,27.0,CX3,1140.0,Barcelona,8.0,20390.0,MAZDA CX3 2.0 G 89kW 121CV 2WD Evolution 5p.,COMMON.TRANSMISSION_AUTOMATIC,1.0,2019.0,profesional,1.0,4x4 suv,6.0,1998.0,5.0,121.0,https://www.coches.net/mazda-cx3-20-g-89kw-121cv-2wd-evolution-5p-gasolina-2019-en-barcelona-54763339-covo.aspx,2023-04-12 20:16:51
1883,Diésel,1.0,COMMON.COLOR_GARNET,54763334.0,85411.0,MAZDA,27.0,Mazda3,287.0,Barcelona,8.0,17590.0,MAZDA Mazda3 2.2 SKYACTIVD 110KW EVOLUTION 5p.,COMMON.TRANSMISSION_MANUAL,2.0,2018.0,profesional,1.0,berlina,1.0,2191.0,5.0,150.0,https://www.coches.net/mazda-mazda3-22-skyactivd-110kw-evolution-5p-diesel-2018-en-barcelona-54763334-covo.aspx,2023-04-12 20:16:53
1884,Gasolina,2.0,COMMON.COLOR_GRAY,54763314.0,82238.0,MAZDA,27.0,CX3,1140.0,Barcelona,8.0,18290.0,MAZDA CX3 2.0 G 89kW 121CV 2WD AT Zenith 5p.,COMMON.TRANSMISSION_AUTOMATIC,1.0,2019.0,profesional,1.0,4x4 suv,6.0,1998.0,5.0,121.0,https://www.coches.net/mazda-cx3-20-g-89kw-121cv-2wd-at-zenith-5p-gasolina-2019-en-barcelona-54763314-covo.aspx,2023-04-12 20:16:55
1885,Gasolina,2.0,COMMON.COLOR_RED,54763315.0,17146.0,MAZDA,27.0,CX3,1140.0,Barcelona,8.0,23490.0,MAZDA CX3 2.0 G 89kW 121CV 2WD Zenith 5p.,COMMON.TRANSMISSION_MANUAL,2.0,2021.0,profesional,1.0,4x4 suv,6.0,1998.0,5.0,121.0,https://www.coches.net/mazda-cx3-20-g-89kw-121cv-2wd-zenith-5p-gasolina-2021-en-barcelona-54763315-covo.aspx,2023-04-12 20:16:57
1886,Diésel,1.0,COMMON.COLOR_WHITE,54763061.0,159395.0,MAZDA,27.0,CX5,1016.0,Madrid,28.0,15990.0,MAZDA CX5 2.2 DE Black Tech Edition 2WD 5p.,COMMON.TRANSMISSION_MANUAL,2.0,2015.0,profesional,1.0,4x4 suv,6.0,2191.0,5.0,150.0,https://www.coches.net/mazda-cx5-22-de-black-tech-edition-2wd-5p-diesel-2017-en-madrid-54763061-covo.aspx,2023-04-12 20:17:00
